emulator_scenario,fair_scenario,short,year,p5,p17,p33,p50,p66,p83,p95
vl,verylow,VLLO,1928,-0.1267025746718787,-0.0443227218987448,0.0087516014939588,0.0527932932940251,0.0902560668159655,0.1515690690030919,0.2348080770282885
vl,verylow,VLLO,1929,-0.1077612852385615,-0.0357964760225088,0.0216622557495458,0.0566078024376845,0.0939147721014242,0.1544462863665856,0.2246985938579952
vl,verylow,VLLO,1930,-0.112467348136522,-0.0401211814879854,0.0114791814179486,0.0505299046447731,0.0929336426205724,0.1451831988732194,0.2218972630821689
vl,verylow,VLLO,1931,-0.0953443643885069,-0.0416915676022932,0.0094185036772885,0.0626411818039413,0.1028210651089656,0.1539454765545896,0.2253676778584101
vl,verylow,VLLO,1932,-0.1095051041334665,-0.0267074982568953,0.0159223397465971,0.0580211741411004,0.1001421033665623,0.1545685567697718,0.2307617637628755
vl,verylow,VLLO,1933,-0.1031234398111156,-0.0363277506230894,0.0178419107946818,0.0574462732294579,0.1017817819238324,0.1628184444392788,0.2310526393586948
vl,verylow,VLLO,1934,-0.0979007665606811,-0.0323323316072238,0.0220110142192825,0.0588263745121338,0.0993710678196231,0.149548187192682,0.2299251128339176
vl,verylow,VLLO,1935,-0.0951572356000322,-0.0241755713942578,0.0222611458834319,0.0620621401329129,0.1040639335875276,0.1670672347347633,0.2394784383678134
vl,verylow,VLLO,1936,-0.0978083071160147,-0.0170733547199753,0.0231893236203759,0.0639955215351898,0.1018685788416573,0.1554457973670902,0.2329881513700855
vl,verylow,VLLO,1937,-0.0910414103273841,-0.0178888492099136,0.0260194121374894,0.067496874068506,0.1039922115067419,0.1668583763136887,0.2425894501649686
vl,verylow,VLLO,1938,-0.0924407752975513,-0.0249417124292554,0.0305224745033431,0.0779953851139992,0.113112185165268,0.1762877171334819,0.2470959713902007
vl,verylow,VLLO,1939,-0.0933792135910513,-0.0197031413373822,0.0328117327672653,0.0707412465595232,0.1118766861036002,0.172249138070568,0.2489642194842608
vl,verylow,VLLO,1940,-0.0955911496301153,-0.0240238118474423,0.0357290565084987,0.0793206956918898,0.1162124364912238,0.1671232015169876,0.2642836177537938
vl,verylow,VLLO,1941,-0.0788613258025694,-0.0097715527032758,0.0409323492165697,0.0816863396321957,0.1222407788612333,0.1723050316573986,0.2544899278319052
vl,verylow,VLLO,1942,-0.0671071784952332,-0.0060121873229558,0.0416475230253426,0.0817640242978187,0.1279805542948926,0.1794891426103024,0.2596444595984438
vl,verylow,VLLO,1943,-0.0746610942354955,-0.0081581891114369,0.0475828054238081,0.0910232618139296,0.1337107469688407,0.1956609854778166,0.2778763428409632
vl,verylow,VLLO,1944,-0.0736647601022777,-0.001370079236634,0.0436975133857613,0.0875286922313417,0.1304823726568555,0.1860482006537872,0.2766289370377197
vl,verylow,VLLO,1945,-0.0695651344336342,0.0001948100795373,0.0551755531811113,0.0910250969139698,0.1329121674763209,0.1875626545521744,0.2780525351367903
vl,verylow,VLLO,1946,-0.0785700412826202,0.0005480740803947,0.0512384646198898,0.0948264460735611,0.1337626099743113,0.18868983053343,0.2703930872109659
vl,verylow,VLLO,1947,-0.0872755760222274,0.0005586377847172,0.0549756836013695,0.0981019130165238,0.1369060059785079,0.1935844609944003,0.2848872674199582
vl,verylow,VLLO,1948,-0.0693028573796296,-0.0020389000248939,0.05669441020488,0.0973707236325509,0.1352042113159644,0.1923807132513349,0.2711028328856093
vl,verylow,VLLO,1949,-0.0650131119727434,0.0003627128208803,0.0485684826279942,0.0937362324702101,0.1398671889284083,0.1996474855275181,0.2732082138330453
vl,verylow,VLLO,1950,-0.0798341979070881,0.0030755405266503,0.0509941401029296,0.1014101132826124,0.1431328273157721,0.1955383588022392,0.2830454818724846
vl,verylow,VLLO,1951,-0.0710657660899501,0.0137805068887968,0.0619972173997527,0.1007587330381311,0.1431593340671365,0.2051672309993014,0.2737342180973573
vl,verylow,VLLO,1952,-0.0683151588126885,0.0060548274691786,0.0625571801173087,0.108275970946074,0.1477025838664334,0.2026485897316115,0.27804236889904
vl,verylow,VLLO,1953,-0.0837924847348837,0.006609133242768,0.0681487401117471,0.1093539946475737,0.1460086576655598,0.1976085449110367,0.2704823478396772
vl,verylow,VLLO,1954,-0.0705686226921455,0.0184119879988489,0.0710256254476471,0.1105044358279556,0.1509352202141651,0.2023014515769616,0.2891743066159104
vl,verylow,VLLO,1955,-0.0738709044101894,0.0043890729844759,0.0656745900603314,0.1082230347048165,0.1447473576873455,0.2035534928305923,0.2871060805879072
vl,verylow,VLLO,1956,-0.0576395510045879,0.0126117898282768,0.0678215071304529,0.1054743260740501,0.1442408448657842,0.2016090410771431,0.2791043755342705
vl,verylow,VLLO,1957,-0.0580932601162,0.024432210813071,0.0754645132031746,0.1146893904232741,0.1547222373088738,0.2082201038205634,0.2912703803855884
vl,verylow,VLLO,1958,-0.0363283857414006,0.0308217371885322,0.0807863507950651,0.1263696170449096,0.1605844946757906,0.2198915530546061,0.2894027657617051
vl,verylow,VLLO,1959,-0.0407388492757251,0.0355427270192103,0.0816413856198733,0.1262257675185892,0.1660554956333524,0.2218593403008818,0.2969193575636067
vl,verylow,VLLO,1960,-0.0269422932569695,0.0429288441348975,0.0896847355481385,0.1296370993964458,0.1695501509299843,0.2245183278201508,0.3017132471426905
vl,verylow,VLLO,1961,-0.0367118191057629,0.0401281267469621,0.0956595903343585,0.1338299977443362,0.1782788263667282,0.2393776630752083,0.3066911763839814
vl,verylow,VLLO,1962,-0.0429728515566215,0.0408104118992146,0.0921482830184158,0.1421829273229466,0.1824819509506335,0.2417847401673327,0.3356077812009141
vl,verylow,VLLO,1963,-0.0235133955888571,0.0459268213298915,0.1007270943593091,0.1421187525995801,0.1764385057733713,0.2344004051245418,0.3283572172323573
vl,verylow,VLLO,1964,-0.0217064299781103,0.0507551605228147,0.1009703529793021,0.1475306020672672,0.1919466224271059,0.2432887423164453,0.3229362206059011
vl,verylow,VLLO,1965,-0.019696649408146,0.0501701325607107,0.1053366230544499,0.1520523410959903,0.1932091768899035,0.2486206386360077,0.3327631512525068
vl,verylow,VLLO,1966,-0.0188016422388059,0.0586111111349528,0.1138823029958011,0.1569118226024118,0.1958721573088069,0.2611314921816042,0.3493022666211844
